eps,min_samples,n_clusters,noise_pct,ari_sample,nmi_sample,silhouette_non_noise,sample_size
10.0,5,6,0.9924834722621443,-0.0006746724574916514,0.0008022083983073755,-0.055953074246644974,5000
12.222222222222221,5,10,0.9205087668870365,0.0009401499871495551,0.0020856421636790104,-0.04126729816198349,5000
14.444444444444445,5,10,0.7684248347226215,-0.004646218873894344,0.0007174438543861444,-0.018101263791322708,5000
16.666666666666668,5,9,0.5702644438056913,-0.0017105129047501584,0.0007700768456930661,0.06798914819955826,5000
18.88888888888889,5,3,0.37921816613969533,0.00041383796316268504,0.00017728758535294037,0.12760183215141296,5000
21.11111111111111,5,3,0.2268467950560506,0.004159494973337531,0.0003148501229373912,0.14628565311431885,5000
23.333333333333336,5,1,0.1268324231100891,0.009165001727586046,0.0012726491163974139,,5000
25.555555555555557,5,1,0.07065248634665133,0.008817476151142726,0.0016065005153022536,,5000
27.77777777777778,5,2,0.038919229663696465,0.0017347228972731607,0.00011467788544895052,0.28133058547973633,5000
30.0,5,1,0.0210261569416499,0.0014483792867637359,0.00013547947157820767,,5000
10.0,10,4,0.9963064098878989,0.00030909611967626675,0.000447955344964403,-0.014331036247313023,5000
12.222222222222221,10,2,0.931704512791032,-0.0008382665748868002,0.0010784627657861217,0.24178676307201385,5000
14.444444444444445,10,2,0.7865478585800517,-0.00286289769255998,0.00029541175477830847,0.1868157535791397,5000
16.666666666666668,10,1,0.5900689853406151,-0.002195207581936969,0.0007603684824245198,,5000
18.88888888888889,10,2,0.39713998275366486,0.0006121327555640227,0.00021764460439533133,0.19029246270656586,5000
21.11111111111111,10,1,0.23945099166427133,0.0032485364229538592,0.00021115666865878196,,5000
23.333333333333336,10,1,0.1336590974417936,0.008291527887315636,0.001038368150832691,,5000
25.555555555555557,10,1,0.0746191434320207,0.009149604506263675,0.0016399217020403362,,5000
27.77777777777778,10,1,0.041189997125610806,0.0020928474099145868,0.0001569200742101665,,5000
30.0,10,1,0.02219028456453004,0.0013894048058089544,0.00012211576173559887,,5000
10.0,20,3,0.9990370796205806,9.231910670878902e-05,3.368115070982281e-05,0.16753219068050385,5000
12.222222222222221,20,2,0.9438056912906008,0.0016314323192612318,0.0015203171161297397,0.23535628616809845,5000
14.444444444444445,20,1,0.8053751077895948,-0.0039742550281500815,0.0002772369356024432,,5000
16.666666666666668,20,1,0.610204081632653,-0.0028143232403269416,0.0008420233505855516,,5000
18.88888888888889,20,1,0.4167145731532049,0.0006425522425009462,0.00010629360862331023,,5000
21.11111111111111,20,2,0.25227076746191435,0.003302005710116946,0.0003969089456713907,0.20823438465595245,5000
23.333333333333336,20,1,0.14210980166714574,0.00788134583273135,0.0009309222696448873,,5000
25.555555555555557,20,1,0.07891635527450416,0.008688913377088804,0.001429136184217661,,5000
27.77777777777778,20,1,0.04353262431733257,0.0037464067934200635,0.0004689909889951259,,5000
30.0,20,1,0.023641851106639838,0.0005493099454726431,1.8705245586085865e-05,,5000
