train_logloss,auroc,auprc,prevalence,model,fold,n_train,n_test,task
0.5930323065924662,0.6167436242639577,0.5673870928181463,0.45862239841427155,xgb_pneumonia,1,16143,4036,pneumonia
0.593673211469706,0.6335017128474064,0.5837271871227214,0.45862239841427155,xgb_pneumonia,2,16143,4036,pneumonia
0.5930562136165528,0.6185273172651682,0.5810058450131331,0.4588701684836472,xgb_pneumonia,3,16143,4036,pneumonia
0.5968125923091725,0.641695518754104,0.5953322503255395,0.4588701684836472,xgb_pneumonia,4,16143,4036,pneumonia
0.5911887230611658,0.6145290982203462,0.5673220767999424,0.4587360594795539,xgb_pneumonia,5,16144,4035,pneumonia
0.6713524375402723,0.6136855951449337,0.5604390728739694,0.45862239841427155,logreg_pneumonia,1,16143,4036,pneumonia
0.672904551278184,0.6056361395349412,0.5536986660563068,0.45862239841427155,logreg_pneumonia,2,16143,4036,pneumonia
0.6696739324368285,0.6007677078141441,0.542990404199643,0.4588701684836472,logreg_pneumonia,3,16143,4036,pneumonia
0.6718283770869432,0.6156559535676708,0.560266740784175,0.4588701684836472,logreg_pneumonia,4,16143,4036,pneumonia
0.6709109708270357,0.6099466331435537,0.5542135713071239,0.4587360594795539,logreg_pneumonia,5,16144,4035,pneumonia
0.4438090254468392,0.6632867527913286,0.33052634865649044,0.20667666916729183,xgb_pneumothorax,1,31989,7998,pneumothorax
0.44499396744843606,0.6678152815260073,0.338828819189526,0.20667666916729183,xgb_pneumothorax,2,31989,7998,pneumothorax
0.4420053932342911,0.6617601798903638,0.33685510450866923,0.20657746654995623,xgb_pneumothorax,3,31990,7997,pneumothorax
0.44463343364007946,0.6600130319387442,0.34002058208745634,0.20657746654995623,xgb_pneumothorax,4,31990,7997,pneumothorax
0.4454029602057607,0.6803776465122453,0.3583627104180992,0.20670251344254095,xgb_pneumothorax,5,31990,7997,pneumothorax
0.4962086092785395,0.6245674102105349,0.29164719085071567,0.20667666916729183,logreg_pneumothorax,1,31989,7998,pneumothorax
0.4951660885343951,0.616526629472788,0.28432343930258175,0.20667666916729183,logreg_pneumothorax,2,31989,7998,pneumothorax
0.4946651591779658,0.6066272083221236,0.275768339885912,0.20657746654995623,logreg_pneumothorax,3,31990,7997,pneumothorax
0.49554453097549594,0.6193307727386343,0.28652961628992674,0.20657746654995623,logreg_pneumothorax,4,31990,7997,pneumothorax
0.4962988656979377,0.6226093849769878,0.289089302500044,0.20670251344254095,logreg_pneumothorax,5,31990,7997,pneumothorax
