ablation_type,dropped,test_auprc,delta_vs_base
drop_one,anchor_age,0.561849688450345,-0.004684893234512599
drop_one,lab_50882_mean,0.5636580711710469,-0.0028765105138106595
drop_one,lab_51221_min,0.5641879705461065,-0.00234661113875112
drop_one,lab_50912_min,0.5642227310317189,-0.0023118506531386585
drop_one,lab_50960_min,0.5642574857464759,-0.002277095938381657
drop_one,lab_50902_mean,0.5645271122510387,-0.002007469433818909
drop_one,lab_50868_mean,0.564604271599096,-0.0019303100857616107
drop_one,gender,0.5648125392193277,-0.0017220424655298716
drop_one,lab_50912_mean,0.5649574239560573,-0.0015771577288002936
drop_one,lab_50983_mean,0.5651606717157955,-0.0013739099690620593
drop_one,lab_50983_min,0.5652267180973554,-0.0013078635875022337
drop_one,lab_50960_mean,0.5652286296610967,-0.0013059520237609368
drop_one,lab_51006_min,0.5653706109023542,-0.0011639707825034096
drop_one,lab_51006_max,0.5654151376537901,-0.0011194440310674514
drop_one,lab_50931_mean,0.5655854363676983,-0.0009491453171592834
drop_one,lab_50960_max,0.5660338093558093,-0.0005007723290483268
drop_one,lab_50882_min,0.5660828531918228,-0.00045172849303476426
drop_one,lab_51221_max,0.5661021750906019,-0.0004324065942556965
drop_one,lab_51006_mean,0.5663483950101554,-0.0001861866747021601
drop_one,lab_50983_max,0.5663535939642699,-0.00018098772058772195
drop_one,lab_50971_mean,0.5664173152906443,-0.00011726639421327789
drop_one,lab_50931_min,0.5665745653420596,3.998365720203623e-05
drop_one,lab_50868_min,0.5672826912454142,0.0007481095605565979
drop_one,lab_50868_max,0.5673317778642933,0.0007971961794357441
drop_one,lab_50971_max,0.5673663656689161,0.0008317839840584762
drop_one,lab_50902_min,0.5673800050191659,0.0008454233343082596
drop_one,lab_50882_max,0.5676057894420858,0.001071207757228243
drop_one,lab_50971_min,0.5676078513211847,0.0010732696363271454
drop_one,lab_50902_max,0.5678530225809036,0.001318440896046047
drop_one,lab_50912_max,0.5682462505060406,0.00171166882118301
drop_one,lab_51221_mean,0.5683462120053171,0.0018116303204595008
drop_one,lab_50931_max,0.5685974072836113,0.0020628255987537036
drop_top10_perm,lab_51006_max|anchor_age|lab_51221_min|lab_50983_max|lab_51006_mean|lab_51221_max|lab_50912_mean|lab_50960_min|lab_50882_max|gender,0.5576672403668608,-0.008867341317996824
