feature,perm_importance_mean_drop_auprc,perm_importance_std
lab_51006_max,0.01183989847969914,0.002143480523299414
anchor_age,0.010356760311752634,0.0018288944308234058
lab_51221_min,0.007378965399104731,0.0021655028767537587
lab_50983_max,0.006268599883773751,0.0015852512435282613
lab_51006_mean,0.005992076802199287,0.0015004645209019322
lab_51221_max,0.005067132319384093,0.0020416734748331406
lab_50912_mean,0.004520263612367903,0.0012340540382833587
lab_50960_min,0.0038751758872671016,0.0016413744284652062
lab_50882_max,0.003803903898917815,0.0014170083287862079
gender,0.003750958632868373,0.002115362862982457
lab_50882_mean,0.003127721200295486,0.0014366915895321116
lab_51006_min,0.0026865318700338816,0.0008635668866326591
lab_51221_mean,0.0025944386884670157,0.0011844172880211444
lab_50971_min,0.002321918693751812,0.0020577811715891308
lab_50912_min,0.002190165464659821,0.0004137289980993061
lab_50902_max,0.0016849644613458393,0.0008964822527977073
lab_50983_mean,0.001242572406215381,0.0007630312548987897
lab_50912_max,0.0010980283040439298,0.0006463877036667446
lab_50902_mean,0.0009089844050373941,0.0007050585803671074
lab_50931_mean,0.0006750876438381015,0.0015421906629473816
lab_50971_mean,0.0005769260766965601,0.0011286666919304706
lab_50868_min,0.0005192649545479155,0.0009605368164919632
lab_50960_max,0.0004165381858497352,0.0005844128121447386
lab_50868_mean,0.00011361040666063582,0.0012060068609260296
lab_50960_mean,1.620153619179554e-05,0.0012225377472151564
lab_50902_min,-2.7070335000567437e-05,0.0006045290363376698
lab_50983_min,-0.00014360445799647126,0.000903118669709268
lab_50882_min,-0.00018902898221875297,0.0006564742303639006
lab_50971_max,-0.0005268769631608383,0.0011179288059282575
lab_50931_min,-0.001423325305695633,0.0016990428049976584
lab_50868_max,-0.0015511711253369809,0.0006591314324124421
lab_50931_max,-0.002192792551936906,0.0029256864786140996
